system,condition,target,n_human,n_generated,auroc
sofia_vag,artifactbench__without_Udio,artifactbench,860,1404,0.9259847280196116
sofia_vag,artifactbench__count_control_Udio,artifactbench,860,1404,0.9259159875438946
sofia_vag,artifactbench__without_MusicGen,artifactbench,860,1404,0.9239763466507653
sofia_vag,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9328786523553965
sofia_vag,echoes__without_Suno,echoes,59,742,0.9126730321165882
sofia_vag,echoes__count_control_Suno,echoes,59,742,0.9019142034812007
sofia_vag,echoes__without_Udio,echoes,59,742,0.8994928959751474
sofia_vag,echoes__count_control_Udio,echoes,59,742,0.9281831056695143
sofia_vag,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9214853099765907
sofia_vag,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.9423834135563798
sofia_vag,artifactbench__without_StableAudio,artifactbench,860,1404,0.9372134433180945
sofia_vag,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9366337043662625
sofia_vag,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9103429569999337
sofia_vag,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9231837606837607
sofia_vag,echoes__without_StableAudio,echoes,59,742,0.9317922244049524
sofia_vag,echoes__count_control_StableAudio,echoes,59,742,0.925624743021609
sofia_vag,echoes__without_AudioLDM,echoes,59,742,0.9315637991685322
sofia_vag,echoes__count_control_AudioLDM,echoes,59,742,0.9285942710950706
sofia_vag,echoes__without_DiffRhythm,echoes,59,742,0.9316094842158161
sofia_vag,echoes__count_control_DiffRhythm,echoes,59,742,0.9317465393576683
sofia_vag,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9212504767353166
sofia_vag,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.9354370512112364
sofia_vag,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.9311922985875484
sofia_vag,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9336958165654015
sofia_vag,artifactbench__fmc_fit_only,artifactbench,860,1404,0.836133886569933
comoe_dac,artifactbench__base,artifactbench,860,1404,0.865455426356589
comoe_dac,echoes__base,echoes,59,742,0.7740189136095755
comoe_dac,fakemusiccaps__base,fakemusiccaps,1102,5520,0.7427573219968964
comoe_dac,artifactbench__without_Suno,artifactbench,860,1404,0.8652761213807725
comoe_dac,artifactbench__count_control_Suno,artifactbench,860,1404,0.8681077320612205
comoe_dac,artifactbench__without_Udio,artifactbench,860,1404,0.8670542635658915
comoe_dac,artifactbench__count_control_Udio,artifactbench,860,1404,0.8550429006824356
comoe_dac,artifactbench__without_MusicGen,artifactbench,860,1404,0.8612444510700324
comoe_dac,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.8572649572649573
comoe_dac,echoes__without_Suno,echoes,59,742,0.7399150258120517
comoe_dac,echoes__count_control_Suno,echoes,59,742,0.761386998035543
comoe_dac,echoes__without_Udio,echoes,59,742,0.7533464297135548
comoe_dac,echoes__count_control_Udio,echoes,59,742,0.7769655991593951
comoe_dac,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.767189267208501
comoe_dac,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.7643861457429182
comoe_dac,artifactbench__fmc_fit_only,artifactbench,860,1404,0.7881985854369575
handcrafted,artifactbench__base,artifactbench,860,1404,0.863176638176638
handcrafted,echoes__base,echoes,59,742,0.8018411074055461
handcrafted,fakemusiccaps__base,fakemusiccaps,1102,5520,0.7089963242063179
handcrafted,artifactbench__without_Suno,artifactbench,860,1404,0.8604899622341483
handcrafted,artifactbench__count_control_Suno,artifactbench,860,1404,0.8594041939972172
handcrafted,artifactbench__without_Udio,artifactbench,860,1404,0.8563771284701518
handcrafted,artifactbench__count_control_Udio,artifactbench,860,1404,0.8594058503942225
handcrafted,artifactbench__without_MusicGen,artifactbench,860,1404,0.8653142185118929
handcrafted,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.8653125621148876
handcrafted,echoes__without_Suno,echoes,59,742,0.7990314769975786
handcrafted,echoes__count_control_Suno,echoes,59,742,0.7973639727717118
handcrafted,echoes__without_Udio,echoes,59,742,0.7936634839417059
handcrafted,echoes__count_control_Udio,echoes,59,742,0.7973868152953539
handcrafted,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.7069340329835082
handcrafted,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.7077855808937636
handcrafted,artifactbench__without_StableAudio,artifactbench,860,1404,0.8576633207447162
handcrafted,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.865141125024846
handcrafted,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.8629936063075598
handcrafted,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.863055721195256
handcrafted,echoes__without_StableAudio,echoes,59,742,0.7926355703778153
handcrafted,echoes__count_control_StableAudio,echoes,59,742,0.803074603682215
handcrafted,echoes__without_AudioLDM,echoes,59,742,0.7973868152953538
handcrafted,echoes__count_control_AudioLDM,echoes,59,742,0.803188816300425
handcrafted,echoes__without_DiffRhythm,echoes,59,742,0.8018867924528301
handcrafted,echoes__count_control_DiffRhythm,echoes,59,742,0.8017954223582622
handcrafted,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.708752038454457
handcrafted,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.7079118335569058
handcrafted,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.7084669836134564
handcrafted,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.707564309950288
handcrafted,artifactbench__fmc_fit_only,artifactbench,860,1404,0.8587996090903067
