system,target,decoder_class,n_generated,n_human,auroc
fixed_fusion,artifactbench,unknown_proprietary,884,860,0.9691367199831631
fixed_fusion,echoes,continuous_vae,155,59,0.97058501913614
fixed_fusion,echoes,mel_vae_hifigan,172,59,0.9993102089081592
fixed_fusion,echoes,non_neural,32,59,0.5195974576271186
fixed_fusion,echoes,rvq_xcodec,111,59,0.9969460986410139
fixed_fusion,echoes,unknown_proprietary,272,59,0.94080259222333
fixed_fusion,fakemusiccaps,continuous_vae,1104,1102,0.9815618506536206
fixed_fusion,fakemusiccaps,mel_vae_hifigan,3312,1102,0.978582391918076
fixed_fusion,fakemusiccaps,rvq_encodec,1104,1102,0.9943391790946632
two_member,artifactbench,continuous_vae,200,860,0.9986889534883722
two_member,artifactbench,griffin_lim,130,860,0.935
two_member,artifactbench,rvq_encodec,90,860,0.9985400516795866
two_member,artifactbench,rvq_xcodec,100,860,0.9996976744186047
two_member,artifactbench,unknown_proprietary,884,860,0.9777432126696833
two_member,echoes,continuous_vae,155,59,0.9529250956806998
two_member,echoes,mel_vae_hifigan,172,59,0.9996551044540797
two_member,echoes,non_neural,32,59,0.4679555084745763
two_member,echoes,rvq_xcodec,111,59,0.9867155290884104
two_member,echoes,unknown_proprietary,272,59,0.9411764705882353
two_member,fakemusiccaps,continuous_vae,1104,1102,0.9704748776927326
two_member,fakemusiccaps,mel_vae_hifigan,3312,1102,0.9737406516040226
two_member,fakemusiccaps,rvq_encodec,1104,1102,0.9891230371656277
learned_fusion,artifactbench,continuous_vae,200,860,0.9998837209302326
learned_fusion,artifactbench,griffin_lim,130,860,0.9612611806797853
learned_fusion,artifactbench,rvq_encodec,90,860,1.0
learned_fusion,artifactbench,rvq_xcodec,100,860,0.9997325581395349
learned_fusion,artifactbench,unknown_proprietary,884,860,0.9869962117226139
learned_fusion,echoes,continuous_vae,155,59,0.9923455440131219
learned_fusion,echoes,mel_vae_hifigan,172,59,1.0
learned_fusion,echoes,non_neural,32,59,0.6890889830508474
learned_fusion,echoes,rvq_xcodec,111,59,1.0
learned_fusion,echoes,unknown_proprietary,272,59,0.9819292123629113
learned_fusion,fakemusiccaps,continuous_vae,1104,1102,0.9912938267708252
learned_fusion,fakemusiccaps,mel_vae_hifigan,3312,1102,0.9941262921170992
learned_fusion,fakemusiccaps,rvq_encodec,1104,1102,0.9990325560903759
clam,artifactbench,continuous_vae,200,860,0.9431860465116279
