system,trainer,pool,n_human,n_generated,auroc,in_corpus
fst_mert,echoes,AB: SONICS YouTube,294,3614,0.9822073267602558,False
fst_mert,echoes,AB: YouTube lossless,73,3614,0.9510996050367293,False
fst_mert,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.638832198236943,True
fst_mert,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.6816617110483713,False
fst_mert,fakemusiccaps,SONICS: YouTube full,2500,3614,0.8723062534587716,False
fst_mert,fakemusiccaps,AB: FMA mp3 30 s,150,3614,0.6378730861464674,False
fst_mert,fakemusiccaps,AB: MoM YouTube,347,3614,0.33882802868766837,False
fst_mert,fakemusiccaps,AB: SONICS YouTube,294,3614,0.3627135967834837,False
fst_mert,fakemusiccaps,AB: YouTube lossless,73,3614,0.37898279900842236,False
fst_mert,sonics,FMC: MusicCaps 10 s,1102,3614,0.5089889138528629,False
fst_mert,sonics,Echoes: FMA 30 s,59,3614,0.7435772372975153,False
fst_mert,sonics,SONICS: YouTube full,2500,3614,0.8494514665190923,True
fst_mert,sonics,AB: FMA mp3 30 s,150,3614,0.6339955727725513,False
fst_mert,sonics,AB: MoM YouTube,155,3614,0.5699430530017673,False
fst_mert,sonics,AB: SONICS YouTube,294,3614,0.5412238498055559,False
fst_mert,sonics,AB: YouTube lossless,73,3614,0.5067621350759224,False
muq_fst,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.8660299179335855,False
muq_fst,artifactbench,Echoes: FMA 30 s,59,3614,0.9282451483402586,False
muq_fst,artifactbench,SONICS: YouTube full,2500,3614,0.9378193137797455,False
muq_fst,artifactbench,AB: FMA mp3 30 s,150,3614,0.9417173953145175,True
muq_fst,artifactbench,AB: MoM YouTube,347,3614,0.9643485389033042,True
muq_fst,artifactbench,AB: SONICS YouTube,294,3614,0.9588232083093338,True
muq_fst,artifactbench,AB: YouTube lossless,73,3614,0.9344975021036911,True
muq_fst,echoes,FMC: MusicCaps 10 s,1102,3614,0.8764649874404538,False
muq_fst,echoes,Echoes: FMA 30 s,59,3614,0.9857568964385207,True
muq_fst,echoes,SONICS: YouTube full,2500,3614,0.9301237963475373,False
muq_fst,echoes,AB: FMA mp3 30 s,150,3614,0.9687382401770891,False
muq_fst,echoes,AB: MoM YouTube,347,3614,0.9517095700517839,False
muq_fst,echoes,AB: SONICS YouTube,294,3614,0.9570293529697435,False
muq_fst,echoes,AB: YouTube lossless,73,3614,0.9003456876227152,False
muq_fst,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.5692213784465936,True
muq_fst,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.5780908519598923,False
muq_fst,fakemusiccaps,SONICS: YouTube full,2500,3614,0.6846172661870503,False
muq_fst,fakemusiccaps,AB: FMA mp3 30 s,150,3614,0.4911483121195352,False
muq_fst,fakemusiccaps,AB: MoM YouTube,347,3614,0.368279617051205,False
muq_fst,fakemusiccaps,AB: SONICS YouTube,294,3614,0.3908778785448878,False
muq_fst,fakemusiccaps,AB: YouTube lossless,73,3614,0.39901524512739656,False
muq_fst,sonics,FMC: MusicCaps 10 s,1102,3614,0.5084288565238833,False
muq_fst,sonics,Echoes: FMA 30 s,59,3614,0.6234089651355839,False
muq_fst,sonics,SONICS: YouTube full,2500,3614,0.6955617598229109,True
muq_fst,sonics,AB: FMA mp3 30 s,150,3614,0.5671656520937097,False
muq_fst,sonics,AB: MoM YouTube,155,3614,0.5229287537711766,False
muq_fst,sonics,AB: SONICS YouTube,294,3614,0.5312974110507512,False
muq_fst,sonics,AB: YouTube lossless,73,3614,0.48270045712639587,False
fst_muq_frozen,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.8391445296924543,False
fst_muq_frozen,artifactbench,Echoes: FMA 30 s,59,3614,0.9055040192096648,False
fst_muq_frozen,artifactbench,SONICS: YouTube full,2500,3614,0.9507072495849473,False
fst_muq_frozen,artifactbench,AB: FMA mp3 30 s,150,3614,0.919770337576093,True
fst_muq_frozen,artifactbench,AB: MoM YouTube,347,3614,0.935248608916015,True
fst_muq_frozen,artifactbench,AB: SONICS YouTube,294,3614,0.9308556294681681,True
fst_muq_frozen,artifactbench,AB: YouTube lossless,73,3614,0.9014487040504582,True
fst_muq_frozen,echoes,FMC: MusicCaps 10 s,1102,3614,0.8498593140007051,False
fst_muq_frozen,echoes,Echoes: FMA 30 s,59,3614,0.987600011255663,True
fst_muq_frozen,echoes,SONICS: YouTube full,2500,3614,0.9379705035971222,False
fst_muq_frozen,echoes,AB: FMA mp3 30 s,150,3614,0.9676203652462646,False
fst_muq_frozen,echoes,AB: MoM YouTube,347,3614,0.9561208492749139,False
fst_muq_frozen,echoes,AB: SONICS YouTube,294,3614,0.9594321403160047,False
fst_muq_frozen,echoes,AB: YouTube lossless,73,3614,0.8968395357475875,False
fst_muq_frozen,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.5809518237706359,True
fst_muq_frozen,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.5948570999784267,False
fst_muq_frozen,fakemusiccaps,SONICS: YouTube full,2500,3614,0.7167842280022135,False
fst_muq_frozen,fakemusiccaps,AB: FMA mp3 30 s,150,3614,0.4976489577568714,False
fst_muq_frozen,fakemusiccaps,AB: MoM YouTube,347,3614,0.36733548209093997,False
fst_muq_frozen,fakemusiccaps,AB: SONICS YouTube,294,3614,0.38505114275926194,False
fst_muq_frozen,fakemusiccaps,AB: YouTube lossless,73,3614,0.37527196367247617,False
fst_muq_frozen,sonics,FMC: MusicCaps 10 s,1102,3614,0.465275692331797,False
fst_muq_frozen,sonics,Echoes: FMA 30 s,59,3614,0.4354042189976832,False
fst_muq_frozen,sonics,SONICS: YouTube full,2500,3614,0.4372252905368013,True
fst_muq_frozen,sonics,AB: FMA mp3 30 s,150,3614,0.41502398081534775,False
fst_muq_frozen,sonics,AB: MoM YouTube,155,3614,0.37796561758037733,False
fst_muq_frozen,sonics,AB: SONICS YouTube,294,3614,0.38545866603420553,False
fst_muq_frozen,sonics,AB: YouTube lossless,73,3614,0.4921917050132287,False
musicdet,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.6206818713673484,False
musicdet,artifactbench,Echoes: FMA 30 s,59,3614,0.6505890463639519,False
musicdet,artifactbench,SONICS: YouTube full,2500,3614,0.6977044825677918,False
musicdet,artifactbench,AB: FMA mp3 30 s,148,3614,0.6681056402279424,True
musicdet,artifactbench,AB: MoM YouTube,347,3614,0.7267367219060044,True
musicdet,artifactbench,AB: SONICS YouTube,294,3614,0.7094876688915742,True
musicdet,artifactbench,AB: YouTube lossless,73,3614,0.6640575842803101,True
musicdet,echoes,FMC: MusicCaps 10 s,1102,3614,0.5704433102966182,False
musicdet,echoes,Echoes: FMA 30 s,59,3614,0.6911070882537776,True
musicdet,echoes,SONICS: YouTube full,2500,3614,0.6877102933038186,False
musicdet,echoes,AB: FMA mp3 30 s,148,3614,0.6671110097369091,False
musicdet,echoes,AB: MoM YouTube,347,3614,0.7094360866881755,False
musicdet,echoes,AB: SONICS YouTube,294,3614,0.702838357257679,False
musicdet,echoes,AB: YouTube lossless,73,3614,0.6250236902153725,False
musicdet,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.7180789920625276,True
musicdet,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.745593876919325,False
musicdet,fakemusiccaps,SONICS: YouTube full,2500,3614,0.7378730492529053,False
musicdet,fakemusiccaps,AB: FMA mp3 30 s,148,3614,0.7461616984998279,False
musicdet,fakemusiccaps,AB: MoM YouTube,347,3614,0.770051305442013,False
musicdet,fakemusiccaps,AB: SONICS YouTube,294,3614,0.7728071859623762,False
musicdet,fakemusiccaps,AB: YouTube lossless,73,3614,0.7218977189165423,False
musicdet,sonics,FMC: MusicCaps 10 s,1102,3614,0.6081480620334111,False
musicdet,sonics,Echoes: FMA 30 s,59,3614,0.6998302270830011,False
musicdet,sonics,SONICS: YouTube full,2500,3614,0.7298360265633647,True
musicdet,sonics,AB: FMA mp3 30 s,148,3614,0.6930695568285496,False
musicdet,sonics,AB: MoM YouTube,155,3614,0.7680275630612136,False
musicdet,sonics,AB: SONICS YouTube,294,3614,0.7494395378516654,False
musicdet,sonics,AB: YouTube lossless,73,3614,0.6212635792314516,False
sofia_vag,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.577248113557179,False
sofia_vag,artifactbench,Echoes: FMA 30 s,59,3614,0.7455985667789107,False
sofia_vag,artifactbench,SONICS: YouTube full,2500,3614,0.9214712783619259,False
sofia_vag,artifactbench,AB: FMA mp3 30 s,150,3614,0.7745858697657259,True
sofia_vag,artifactbench,AB: MoM YouTube,347,3614,0.943221924344807,True
sofia_vag,artifactbench,AB: SONICS YouTube,294,3614,0.9017285386761235,True
sofia_vag,artifactbench,AB: YouTube lossless,73,3614,0.8551333853886333,True
sofia_vag,echoes,FMC: MusicCaps 10 s,1102,3614,0.8130048801946854,False
sofia_vag,echoes,Echoes: FMA 30 s,59,3614,0.9560325663849625,True
sofia_vag,echoes,SONICS: YouTube full,2500,3614,0.9207405091311566,False
sofia_vag,echoes,AB: FMA mp3 30 s,150,3614,0.9473178380372624,False
sofia_vag,echoes,AB: MoM YouTube,347,3614,0.9325374105503892,False
sofia_vag,echoes,AB: SONICS YouTube,294,3614,0.9185579323040782,False
sofia_vag,echoes,AB: YouTube lossless,73,3614,0.8441032211112038,False
sofia_vag,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.5862764486163408,True
sofia_vag,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.662311350398169,False
sofia_vag,fakemusiccaps,SONICS: YouTube full,2500,3614,0.8764996679579413,False
sofia_vag,fakemusiccaps,AB: FMA mp3 30 s,150,3614,0.5996891717395314,False
sofia_vag,fakemusiccaps,AB: MoM YouTube,347,3614,0.8877898789370189,False
sofia_vag,fakemusiccaps,AB: SONICS YouTube,294,3614,0.8650599143918773,False
sofia_vag,fakemusiccaps,AB: YouTube lossless,73,3614,0.7669602989894702,False
sofia_vag,sonics,FMC: MusicCaps 10 s,1102,3614,0.33552807342287555,False
sofia_vag,sonics,Echoes: FMA 30 s,59,3614,0.3010631911680564,False
sofia_vag,sonics,SONICS: YouTube full,2500,3614,0.60320907581627,True
sofia_vag,sonics,AB: FMA mp3 30 s,150,3614,0.36329828444936363,False
sofia_vag,sonics,AB: MoM YouTube,155,3614,0.6493814377778174,False
sofia_vag,sonics,AB: SONICS YouTube,294,3614,0.623642373385436,False
sofia_vag,sonics,AB: YouTube lossless,73,3614,0.5594605453677102,False
sofia_vag_released,sonics,FMC: MusicCaps 10 s,1102,3614,0.8089223999831268,False
sofia_vag_released,sonics,Echoes: FMA 30 s,59,3614,0.85055058951535,False
sofia_vag_released,sonics,SONICS: YouTube full,2500,3614,0.8712677365799669,True
sofia_vag_released,sonics,AB: FMA mp3 30 s,150,3614,0.8292270798745618,False
sofia_vag_released,sonics,AB: MoM YouTube,155,3614,0.8494010746737597,False
sofia_vag_released,sonics,AB: SONICS YouTube,294,3614,0.8767637381460609,False
sofia_vag_released,sonics,AB: YouTube lossless,73,3614,0.8962065331928345,False
specttra,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.6491988455863816,False
specttra,artifactbench,Echoes: FMA 30 s,59,3614,0.7547625524091808,False
specttra,artifactbench,SONICS: YouTube full,2500,3614,0.7948316546762589,False
specttra,artifactbench,AB: FMA mp3 30 s,148,3614,0.7458139517492036,True
specttra,artifactbench,AB: MoM YouTube,347,3614,0.8482263180809819,True
specttra,artifactbench,AB: SONICS YouTube,294,3614,0.8385304315417368,True
specttra,artifactbench,AB: YouTube lossless,73,3614,0.840020923198217,True
specttra,echoes,FMC: MusicCaps 10 s,1102,3614,0.6679667295062457,False
specttra,echoes,Echoes: FMA 30 s,59,3614,0.8215180137506684,True
specttra,echoes,SONICS: YouTube full,2500,3614,0.7030424460431655,False
specttra,echoes,AB: FMA mp3 30 s,148,3614,0.8123738015824348,False
specttra,echoes,AB: MoM YouTube,347,3614,0.8283213376095844,False
specttra,echoes,AB: SONICS YouTube,294,3614,0.8322255853088328,False
specttra,echoes,AB: YouTube lossless,73,3614,0.7333941066325022,False
specttra,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.47407088987472595,True
specttra,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.34189076379053207,False
