system,trainer,target,n_human,n_generated,auroc,in_summary
mean_pooling,artifactbench,echoes,59,742,0.9481246288089907,True
mean_pooling,artifactbench,fakemusiccaps,1102,5520,0.8917128606749257,True
mean_pooling,artifactbench,sonics,2500,2500,0.9999065600000001,False
mean_pooling,artifactbench,music8k,1102,3614,0.8787635952943634,False
mean_pooling,echoes,artifactbench,864,1405,0.9134650553578489,True
mean_pooling,echoes,fakemusiccaps,1102,5520,0.8291484192114469,True
mean_pooling,echoes,sonics,2500,2500,0.99721496,False
mean_pooling,echoes,music8k,1102,3614,0.9066440551314356,False
mean_pooling,fakemusiccaps,artifactbench,864,1405,0.772733376169764,True
mean_pooling,fakemusiccaps,echoes,59,742,0.7931723696834025,True
mean_pooling,fakemusiccaps,sonics,2500,2500,0.9011167999999999,False
mean_pooling,fakemusiccaps,music8k,1102,3614,0.5918969835997739,False
mean_pooling,sonics,artifactbench,672,1259,0.8209794243352623,True
mean_pooling,sonics,echoes,59,742,0.8297546712960848,True
mean_pooling,sonics,fakemusiccaps,1102,5520,0.874594610589442,True
mean_pooling,sonics,music8k,1102,3614,0.545615985223827,False
attention_pooling,artifactbench,echoes,59,742,0.9657933208460872,True
attention_pooling,artifactbench,fakemusiccaps,1102,5520,0.894156129172256,True
attention_pooling,artifactbench,sonics,2500,2500,0.99998648,False
attention_pooling,artifactbench,music8k,1102,3614,0.9222438048444394,False
attention_pooling,echoes,artifactbench,864,1405,0.9127615493607487,True
attention_pooling,echoes,fakemusiccaps,1102,5520,0.8464812001893791,True
attention_pooling,echoes,sonics,2500,2500,0.9952919199999999,False
attention_pooling,echoes,music8k,1102,3614,0.9012875417940114,False
attention_pooling,fakemusiccaps,artifactbench,864,1405,0.8012517299327797,True
attention_pooling,fakemusiccaps,echoes,59,742,0.8067636712503997,True
attention_pooling,fakemusiccaps,sonics,2500,2500,0.9458496000000001,False
attention_pooling,fakemusiccaps,music8k,1102,3614,0.6088351711482971,False
attention_pooling,sonics,artifactbench,672,1259,0.826255129732592,True
attention_pooling,sonics,echoes,59,742,0.8232559733199324,True
attention_pooling,sonics,fakemusiccaps,1102,5520,0.8448866849470001,True
attention_pooling,sonics,music8k,1102,3614,0.6061978422287997,False
fst_mert,artifactbench,echoes,59,742,0.9156197176664078,True
fst_mert,artifactbench,fakemusiccaps,1102,5520,0.784782197716931,True
fst_mert,artifactbench,sonics,2500,2500,0.98232624,False
fst_mert,artifactbench,music8k,1102,3614,0.8464082008161445,False
fst_mert,echoes,artifactbench,864,1405,0.9373022933965995,True
fst_mert,echoes,fakemusiccaps,1102,5520,0.7242995278676451,True
fst_mert,echoes,sonics,2500,2500,0.9192444,False
fst_mert,echoes,music8k,1102,3614,0.880350236075275,False
fst_mert,fakemusiccaps,artifactbench,864,1405,0.7672383682614998,True
