system,trainer,target,subset,n_generated,n_human,auroc
fixed_fusion,sonics,echoes,all,742,59,0.8664854493124401
fixed_fusion,sonics,echoes,seen_brand_seen_class,136,59,0.8786141575274178
fixed_fusion,sonics,echoes,unseen_brand_seen_class,136,59,0.8406031904287138
fixed_fusion,sonics,echoes,seen_brand_unseen_class,0,59,
fixed_fusion,sonics,echoes,strict_unseen,470,59,0.870465200144248
fixed_fusion,sonics,echoes,strict_unseen_disclosed,470,59,0.870465200144248
fixed_fusion,sonics,fakemusiccaps,all,5520,1102,0.855191318814277
fixed_fusion,sonics,fakemusiccaps,seen_brand_seen_class,0,1102,
fixed_fusion,sonics,fakemusiccaps,unseen_brand_seen_class,0,1102,
fixed_fusion,sonics,fakemusiccaps,seen_brand_unseen_class,0,1102,
fixed_fusion,sonics,fakemusiccaps,strict_unseen,5520,1102,0.855191318814277
fixed_fusion,sonics,fakemusiccaps,strict_unseen_disclosed,5520,1102,0.855191318814277
fixed_fusion,sonics,music8k,all,3614,1102,0.8061243731526018
fixed_fusion,sonics,music8k,seen_brand_seen_class,670,1102,0.8176781699488042
fixed_fusion,sonics,music8k,unseen_brand_seen_class,0,1102,
fixed_fusion,sonics,music8k,seen_brand_unseen_class,0,1102,
fixed_fusion,sonics,music8k,strict_unseen,2944,1102,0.8034949424958573
fixed_fusion,sonics,music8k,strict_unseen_disclosed,2944,1102,0.8034949424958573
learned_fusion,artifactbench,echoes,all,742,59,0.9649824112567957
learned_fusion,artifactbench,echoes,seen_brand_seen_class,359,59,0.9704452103300127
learned_fusion,artifactbench,echoes,unseen_brand_seen_class,179,59,0.9875958716030679
learned_fusion,artifactbench,echoes,seen_brand_unseen_class,0,59,
learned_fusion,artifactbench,echoes,strict_unseen,204,59,0.935526753074111
learned_fusion,artifactbench,echoes,strict_unseen_disclosed,204,59,0.935526753074111
learned_fusion,artifactbench,fakemusiccaps,all,5520,1102,0.9718030787237959
learned_fusion,artifactbench,fakemusiccaps,seen_brand_seen_class,2208,1102,0.9861274132670506
learned_fusion,artifactbench,fakemusiccaps,unseen_brand_seen_class,0,1102,
learned_fusion,artifactbench,fakemusiccaps,seen_brand_unseen_class,0,1102,
learned_fusion,artifactbench,fakemusiccaps,strict_unseen,3312,1102,0.9622535223616262
learned_fusion,artifactbench,fakemusiccaps,strict_unseen_disclosed,3312,1102,0.9622535223616262
learned_fusion,artifactbench,sonics,all,2500,2500,0.9999975999999999
learned_fusion,artifactbench,sonics,seen_brand_seen_class,2500,2500,0.9999975999999999
learned_fusion,artifactbench,sonics,unseen_brand_seen_class,0,2500,
learned_fusion,artifactbench,sonics,seen_brand_unseen_class,0,2500,
learned_fusion,artifactbench,sonics,strict_unseen,0,2500,
learned_fusion,artifactbench,sonics,strict_unseen_disclosed,0,2500,
learned_fusion,artifactbench,music8k,all,3614,1102,0.9227053091576717
learned_fusion,artifactbench,music8k,seen_brand_seen_class,670,1102,0.9775929788444347
learned_fusion,artifactbench,music8k,unseen_brand_seen_class,1651,1102,0.8612203350331591
learned_fusion,artifactbench,music8k,seen_brand_unseen_class,0,1102,
learned_fusion,artifactbench,music8k,strict_unseen,1293,1102,0.972772558646797
learned_fusion,artifactbench,music8k,strict_unseen_disclosed,1293,1102,0.972772558646797
learned_fusion,echoes,artifactbench,all,1404,862,0.930384516231384
learned_fusion,echoes,artifactbench,seen_brand_seen_class,1004,862,0.9230294598866715
learned_fusion,echoes,artifactbench,unseen_brand_seen_class,180,862,0.9079144109306522
learned_fusion,echoes,artifactbench,seen_brand_unseen_class,130,862,0.974477958236659
learned_fusion,echoes,artifactbench,strict_unseen,90,862,0.9936839391595773
learned_fusion,echoes,artifactbench,strict_unseen_disclosed,90,862,0.9936839391595773
learned_fusion,echoes,fakemusiccaps,all,5520,1102,0.9877500394539573
learned_fusion,echoes,fakemusiccaps,seen_brand_seen_class,2208,1102,0.9943946612220207
