system,trainer,target,carried_fpr,carried_tpr,paired_carried_fpr,paired_carried_tpr,recalibrated_fpr,recalibrated_tpr,n_human_test
single_support,sonics,artifactbench,0.0521,0.6847000000000001,0.0614406779661017,0.6846703733121525,0.07203389830508475,0.704527402700556,472.0
single_support,sonics,echoes,0.0508,0.3828000000000001,,,,,
single_support,sonics,fakemusiccaps,0.0672,0.5236,0.07206208425720621,0.5235507246376812,0.08869179600886919,0.5585144927536232,902.0
single_support,sonics,music8k,0.0672,0.5274,,,,,
fingerprint,artifactbench,echoes,0.0508,0.5498000000000001,,,,,
fingerprint,artifactbench,fakemusiccaps,0.0635,0.5629000000000001,0.06097560975609756,0.5628623188405797,0.03436807095343681,0.46268115942028987,902.0
fingerprint,artifactbench,sonics,0.0413,0.7740999999999999,,,,,
fingerprint,artifactbench,music8k,0.0635,0.3597,,,,,
fingerprint,echoes,artifactbench,0.0741,0.5253000000000001,0.07981927710843373,0.5252669039145907,0.061746987951807226,0.4790035587188612,664.0
fingerprint,echoes,fakemusiccaps,0.1053,0.5683,0.10199556541019955,0.5682971014492754,0.03991130820399113,0.3693840579710145,902.0
fingerprint,echoes,sonics,0.0821,0.7253000000000001,,,,,
fingerprint,echoes,music8k,0.1053,0.3662999999999999,,,,,
fingerprint,fakemusiccaps,artifactbench,0.0266,0.5735999999999999,0.0286144578313253,0.5736654804270462,0.05421686746987952,0.6199288256227758,664.0
fingerprint,fakemusiccaps,echoes,0.0169,0.7035000000000001,,,,,
fingerprint,fakemusiccaps,sonics,0.04,0.49059999999999987,,,,,
fingerprint,fakemusiccaps,music8k,0.049,0.6558,,,,,
fingerprint,sonics,artifactbench,0.058,0.328,0.0614406779661017,0.32803812549642575,0.046610169491525424,0.3129467831612391,472.0
fingerprint,sonics,echoes,0.0678,0.3814000000000001,,,,,
fingerprint,sonics,fakemusiccaps,0.1452,0.28879999999999995,0.1419068736141907,0.288768115942029,0.04656319290465632,0.08931159420289855,902.0
fingerprint,sonics,music8k,0.1452,0.14380000000000004,,,,,
trajectory,artifactbench,echoes,0.13559322033898305,,,,,,
trajectory,artifactbench,fakemusiccaps,0.2558983666061706,,0.26496674057649666,0.8297101449275363,0.06984478935698447,0.47282608695652173,902.0
trajectory,artifactbench,sonics,,,,,,,
trajectory,artifactbench,music8k,0.2558983666061706,,,,,,
trajectory,echoes,artifactbench,0.04060324825986079,,0.03474320241691843,0.5968660968660968,0.0256797583081571,0.5527065527065527,662.0
trajectory,echoes,fakemusiccaps,0.2749546279491833,,0.26718403547671843,0.7005434782608696,0.06430155210643015,0.19293478260869565,902.0
trajectory,echoes,sonics,,,,,,,
trajectory,echoes,music8k,0.2749546279491833,,,,,,
trajectory,fakemusiccaps,artifactbench,0.0069605568445475635,,0.0075528700906344415,0.2215099715099715,0.04380664652567976,0.4779202279202279,662.0
trajectory,fakemusiccaps,echoes,0.0,,,,,,
trajectory,fakemusiccaps,sonics,,,,,,,
trajectory,fakemusiccaps,music8k,0.04900181488203267,,,,,,
trajectory,sonics,artifactbench,0.034328358208955224,,0.031914893617021274,0.5166931637519873,0.04680851063829787,0.5381558028616852,470.0
trajectory,sonics,echoes,0.05084745762711865,,,,,,
trajectory,sonics,fakemusiccaps,0.14609800362976408,,0.15188470066518847,0.5193840579710145,0.06430155210643015,0.2914855072463768,902.0
trajectory,sonics,music8k,0.14609800362976408,,,,,,
mean_pooling,artifactbench,echoes,0.1186,0.8504,,,,,
mean_pooling,artifactbench,fakemusiccaps,0.2559,0.8773,0.2638580931263858,0.8773550724637681,0.03436807095343681,0.4568840579710145,902.0
mean_pooling,artifactbench,sonics,0.0324,1.0,,,,,
mean_pooling,artifactbench,music8k,0.2559,0.8497000000000001,,,,,
mean_pooling,echoes,artifactbench,0.1782,0.8370000000000001,0.17018072289156627,0.8370106761565836,0.030120481927710843,0.6256227758007118,664.0
mean_pooling,echoes,fakemusiccaps,0.3294,0.8278,0.328159645232816,0.8277173913043478,0.04878048780487805,0.302536231884058,902.0
mean_pooling,echoes,sonics,0.1764,0.9988,,,,,
mean_pooling,echoes,music8k,0.3294,0.9451999999999999,,,,,
mean_pooling,fakemusiccaps,artifactbench,0.0336,0.3110000000000001,0.025602409638554216,0.31103202846975087,0.022590361445783132,0.2868327402135231,664.0
mean_pooling,fakemusiccaps,echoes,0.1017,0.6079,,,,,
mean_pooling,fakemusiccaps,sonics,0.0108,0.32280000000000003,,,,,
mean_pooling,fakemusiccaps,music8k,0.049,0.10959999999999999,,,,,
mean_pooling,sonics,artifactbench,0.0759,0.6077,0.07838983050847458,0.607625099285147,0.04449152542372881,0.5528196981731534,472.0
mean_pooling,sonics,echoes,0.0678,0.5767999999999999,,,,,
mean_pooling,sonics,fakemusiccaps,0.196,0.8069999999999999,0.20288248337028825,0.8070652173913043,0.03436807095343681,0.36829710144927535,902.0
mean_pooling,sonics,music8k,0.196,0.14720000000000005,,,,,
attention_pooling,artifactbench,echoes,0.1017,0.8733000000000001,,,,,
attention_pooling,artifactbench,fakemusiccaps,0.2377,0.8651,0.25055432372505543,0.8652173913043478,0.04988913525498891,0.5320652173913043,902.0
attention_pooling,artifactbench,sonics,0.0332,1.0,,,,,
attention_pooling,artifactbench,music8k,0.2377,0.9069,,,,,
attention_pooling,echoes,artifactbench,0.2558,0.8868,0.23795180722891565,0.8868327402135231,0.02108433734939759,0.5886120996441281,664.0
attention_pooling,echoes,fakemusiccaps,0.3775,0.8942999999999999,0.3802660753880266,0.8942028985507247,0.043237250554323724,0.3302536231884058,902.0
attention_pooling,echoes,sonics,0.2552,0.9984000000000001,,,,,
attention_pooling,echoes,music8k,0.3775,0.9633,,,,,
attention_pooling,fakemusiccaps,artifactbench,0.0185,0.3323000000000001,0.010542168674698794,0.3323843416370107,0.024096385542168676,0.3708185053380783,664.0
attention_pooling,fakemusiccaps,echoes,0.0508,0.593,,,,,
attention_pooling,fakemusiccaps,sonics,0.0064,0.4447999999999999,,,,,
attention_pooling,fakemusiccaps,music8k,0.049,0.09320000000000002,,,,,
attention_pooling,sonics,artifactbench,0.0625,0.6045,0.0635593220338983,0.6044479745830024,0.05508474576271186,0.5845909451945989,472.0
attention_pooling,sonics,echoes,0.0847,0.6091,,,,,
attention_pooling,sonics,fakemusiccaps,0.1425,0.6743,0.14079822616407983,0.6742753623188406,0.03325942350332594,0.35489130434782606,902.0
attention_pooling,sonics,music8k,0.1425,0.15190000000000006,,,,,
fst_mert,artifactbench,echoes,0.1356,0.7735999999999998,,,,,
fst_mert,artifactbench,fakemusiccaps,0.3494,0.7627999999999999,0.360310421286031,0.7626811594202898,0.04988913525498891,0.26068840579710145,902.0
fst_mert,artifactbench,sonics,0.046,0.9208000000000001,,,,,
